index,spanish,english,display_es,display_en
0,"hola","hello",HOLA,HELLO
1,"adiós","goodbye",ADIOS,GOODBYE
2,"por favor","please",POR FAVOR,PLEASE
3,"gracias","thank you",GRACIAS,THANK YOU
4,"sí","yes",SI,YES
5,"no","no",NO,NO
6,"casa","house",CASA,HOUSE
7,"escuela","school",ESCUELA,SCHOOL
8,"libro","book",LIBRO,BOOK
9,"mesa","table",MESA,TABLE
10,"silla","chair",SILLA,CHAIR
11,"puerta","door",PUERTA,DOOR
12,"ventana","window",VENTANA,WINDOW
13,"agua","water",AGUA,WATER
14,"comida","food",COMIDA,FOOD
15,"pan","bread",PAN,BREAD
16,"leche","milk",LECHE,MILK
17,"manzana","apple",MANZANA,APPLE
18,"perro","dog",PERRO,DOG
19,"gato","cat",GATO,CAT
20,"pájaro","bird",PAJARO,BIRD
21,"amigo","friend",AMIGO,FRIEND
22,"familia","family",FAMILIA,FAMILY
23,"madre","mother",MADRE,MOTHER
24,"padre","father",PADRE,FATHER
25,"hermano","brother",HERMANO,BROTHER
26,"hermana","sister",HERMANA,SISTER
27,"niño","boy",NINO,BOY
28,"niña","girl",NINA,GIRL
29,"uno","one",UNO,ONE
30,"dos","two",DOS,TWO
31,"tres","three",TRES,THREE
32,"rojo","red",ROJO,RED
33,"azul","blue",AZUL,BLUE
34,"verde","green",VERDE,GREEN
35,"amarillo","yellow",AMARILLO,YELLOW
36,"negro","black",NEGRO,BLACK
37,"blanco","white",BLANCO,WHITE
38,"feliz","happy",FELIZ,HAPPY
39,"triste","sad",TRISTE,SAD
40,"grande","big",GRANDE,BIG
41,"pequeño","small",PEQUENO,SMALL
42,"rápido","fast",RAPIDO,FAST
43,"lento","slow",LENTO,SLOW
44,"caliente","hot",CALIENTE,HOT
45,"frío","cold",FRIO,COLD
46,"comer","to eat",COMER,TO EAT
47,"beber","to drink",BEBER,TO DRINK
48,"hablar","to speak",HABLAR,TO SPEAK
49,"escribir","to write",ESCRIBIR,TO WRITE
50,"yo","I",YO,I
51,"tú","you",TU,YOU
52,"él","he",EL,HE
53,"ella","she",ELLA,SHE
54,"nosotros","we",NOSOTROS,WE
55,"ustedes","you plural",USTEDES,YOU PLURAL
56,"ser","to be",SER,TO BE
57,"estar","to be temporary",ESTAR,TO BE TEMP
58,"tener","to have",TENER,TO HAVE
59,"hacer","to do",HACER,TO DO
60,"ir","to go",IR,TO GO
61,"venir","to come",VENIR,TO COME
62,"dar","to give",DAR,TO GIVE
63,"decir","to say",DECIR,TO SAY
64,"ver","to see",VER,TO SEE
65,"saber","to know",SABER,TO KNOW
